DATAFLOW,LAST UPDATE,freq,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,AT,2013,0.72,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,AT,2014,0.72,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,AT,2015,0.95,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,AT,2016,0.65,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,AT,2017,0.60,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,AT,2018,0.52,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,AT,2019,0.74,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,AT,2020,0.63,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,AT,2021,0.61,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,AT,2022,0.61,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BE,2013,0.40,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BE,2014,0.38,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BE,2015,0.36,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BE,2016,0.45,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BE,2017,0.41,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BE,2018,0.39,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BE,2019,0.43,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BE,2020,0.50,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BE,2021,0.48,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BE,2022,0.56,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BG,2013,,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BG,2014,,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BG,2015,0.26,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BG,2016,0.28,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BG,2017,0.33,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BG,2018,0.30,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BG,2019,0.33,bu
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BG,2020,0.31,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BG,2021,,bu
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,BG,2022,0.21,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CH,2013,1.12,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CH,2014,1.27,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CH,2015,1.35,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CH,2016,1.45,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CH,2017,1.37,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CH,2018,1.40,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CH,2019,1.45,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CH,2020,1.49,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CH,2021,1.28,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CH,2022,1.22,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CY,2013,,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CY,2014,0.50,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CY,2015,0.33,bu
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CY,2016,0.54,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CY,2017,0.68,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CY,2018,0.48,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CY,2019,0.62,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CY,2020,0.69,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CY,2021,0.62,bu
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CY,2022,0.42,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CZ,2013,0.52,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CZ,2014,0.57,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CZ,2015,0.48,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CZ,2016,0.55,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CZ,2017,0.74,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CZ,2018,0.61,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CZ,2019,0.55,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CZ,2020,0.48,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CZ,2021,0.45,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,CZ,2022,0.52,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DE,2013,0.62,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DE,2014,0.61,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DE,2015,0.60,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DE,2016,0.65,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DE,2017,0.69,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DE,2018,0.68,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DE,2019,0.69,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DE,2020,0.64,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DE,2021,0.56,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DE,2022,0.63,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DK,2013,0.92,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DK,2014,1.06,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DK,2015,1.09,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DK,2016,1.09,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DK,2017,1.00,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DK,2018,1.06,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DK,2019,1.08,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DK,2020,0.92,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DK,2021,1.06,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,DK,2022,1.19,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EE,2013,0.59,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EE,2014,0.96,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EE,2015,0.74,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EE,2016,0.76,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EE,2017,0.81,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EE,2018,0.78,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EE,2019,0.90,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EE,2020,0.64,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EE,2021,0.72,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EE,2022,0.99,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EL,2013,0.31,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EL,2014,0.36,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EL,2015,0.31,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EL,2016,0.35,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EL,2017,0.53,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EL,2018,0.59,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EL,2019,0.54,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EL,2020,0.67,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EL,2021,0.49,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EL,2022,0.56,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,ES,2013,0.94,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,ES,2014,1.09,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,ES,2015,0.97,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,ES,2016,0.90,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,ES,2017,0.97,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,ES,2018,1.01,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,ES,2019,0.97,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,ES,2020,0.90,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,ES,2021,1.06,bd
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,ES,2022,1.05,d
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EU27_2020,2013,0.62,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EU27_2020,2014,0.63,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EU27_2020,2015,0.64,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EU27_2020,2016,0.64,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EU27_2020,2017,0.66,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EU27_2020,2018,0.67,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EU27_2020,2019,0.69,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EU27_2020,2020,0.65,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EU27_2020,2021,0.68,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,EU27_2020,2022,0.74,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FI,2013,1.08,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FI,2014,1.27,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FI,2015,1.28,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FI,2016,1.23,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FI,2017,1.34,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FI,2018,1.43,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FI,2019,1.45,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FI,2020,1.56,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FI,2021,1.33,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FI,2022,1.23,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FR,2013,0.78,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FR,2014,0.57,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FR,2015,0.62,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FR,2016,0.58,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FR,2017,0.55,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FR,2018,0.56,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FR,2019,0.57,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FR,2020,0.51,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FR,2021,0.99,bd
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,FR,2022,1.08,d
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HR,2013,0.30,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HR,2014,0.38,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HR,2015,0.24,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HR,2016,0.26,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HR,2017,0.30,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HR,2018,0.53,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HR,2019,0.58,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HR,2020,0.22,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HR,2021,0.31,bu
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HR,2022,0.21,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HU,2013,0.35,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HU,2014,0.29,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HU,2015,0.37,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HU,2016,0.28,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HU,2017,0.30,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HU,2018,0.49,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HU,2019,0.46,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HU,2020,0.52,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HU,2021,0.53,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,HU,2022,0.60,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,IE,2013,0.83,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,IE,2014,0.81,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,IE,2015,0.73,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,IE,2016,0.92,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,IE,2017,1.02,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,IE,2018,0.99,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,IE,2019,0.93,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,IE,2020,0.74,u
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,IE,2021,0.76,bu
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,IE,2022,0.80,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,IS,2013,1.98,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,IS,2014,2.06,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,F,PC_EMP,IS,2015,1.64,
